experiment,precision,recall,F1,amount_test_edges
NCIT_TO_DOID,0.10961214165261383,0.5543710021321961,0.18303414290742698,469
OMIM_TO_ORDO,0.050621669626998225,0.30563002680965146,0.08685714285714285,373
SNOMED_TO_FMA_BODY,0.04503171247357294,0.29338842975206614,0.0780791788856305,726
SNOMED_TO_NCIT_NEOPLAS,0.05582417582417582,0.3324607329842932,0.0955965374482499,382
SNOMED_TO_NCIT_PHARM,0.09048015542603387,0.5611015490533563,0.15583173996175909,581
