experiment_name,tn,fp,fn,tp,f1,precision,recall,mrr,h1,loss
with_virtual_nodes,4750.0,312.0,260.48,751.92,0.7202656141201159,0.7051970708715777,0.7499316489074448,0.9088152241706848,0.8395240569114685,0.08509706318378449
without_virtual_nodes,4738.84,323.16,225.28,787.12,0.7415704181550518,0.712880173760157,0.7782188860958017,0.912697434425354,0.8479912209510804,0.08375669866800309
