experiment_name,task,tn,fp,fn,tp,f1,precision,recall,mrr,h1,loss
with_virtual_nodes,NCIT_TO_DOID,84.07912939606356,84.07912939606356,86.53323061113575,86.53323061113575,0.047654808025135026,0.04864517967274818,0.09225291109929185,0.014579477679788034,0.025624097899482817,0.019038657941474954
with_virtual_nodes,OMIM_TO_ORDO,37.70941526992963,37.7094152699296,25.713809519400275,25.713809519400268,0.009527915132497844,0.022143958362961288,0.03446891356487973,0.012936882149036827,0.02253047211600141,0.007351210272534292
with_virtual_nodes,SNOMED_TO_FMA_BODY,105.72700695659556,105.72700695659553,351.87043069857407,351.87043069857407,0.16018274671744903,0.052107719176031846,0.24233500736816393,0.04525303396959734,0.08080628261285419,0.04550023962865494
with_virtual_nodes,SNOMED_TO_NCIT_NEOPLAS,41.524691449786864,41.524691449786836,27.618834153526468,27.618834153526464,0.01926123154767873,0.028724162992578656,0.036150306483673386,0.009584530761968165,0.014791169257353798,0.0070878062972118926
with_virtual_nodes,SNOMED_TO_NCIT_PHARM,125.41331667729709,125.41331667729708,92.03694910197751,92.03694910197753,0.032620301425587486,0.05086044316889689,0.07920563606022159,0.01587106560548111,0.027770388200807794,0.012185127116143996
without_virtual_nodes,NCIT_TO_DOID,55.816664178361584,55.81666417836164,32.41604540964243,32.416045409642436,0.01276402672575939,0.03325955358917613,0.034558683805588956,0.004331795975221529,0.008154074738565553,0.003050451508299857
without_virtual_nodes,OMIM_TO_ORDO,16.87601848778318,16.87601848778319,17.854971296532515,17.85497129653252,0.021294265675704433,0.021265261346628817,0.02393427787738945,0.012759530499333076,0.022717132461955496,0.006238130543532072
without_virtual_nodes,SNOMED_TO_FMA_BODY,58.55339443618961,58.553394436189606,111.3678589180918,111.36785891809181,0.04451447267703384,0.031685859145822615,0.07669962735405775,0.01749965082593569,0.031749972538983644,0.015332846023502262
without_virtual_nodes,SNOMED_TO_NCIT_NEOPLAS,14.30734077318349,14.307340773183531,41.842562063047716,41.84256206304771,0.0358419749305036,0.02147834473324682,0.05476775139142372,0.010692531371269945,0.018380614996439604,0.00929235024031319
without_virtual_nodes,SNOMED_TO_NCIT_PHARM,114.67475746649745,114.6747574664974,67.13270439956966,67.13270439956966,0.037501794538787527,0.04473170045236992,0.057773411703588344,0.020450657000253794,0.03556310345865634,0.013118526649982646
